epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70
cg17525406,cg17838026,cg17525406,cg26537639,cg26537639,cg26537639,cg26537639
cg17838026,cg13216057,cg27619475,cg27619475,cg27619475,cg27619475,cg17525406
cg09137696,cg27619475,cg26537639,cg17525406,cg17525406,cg17525406,cg04220579
cg04220579,cg17525406,cg13216057,cg13216057,cg13216057,cg04220579,cg27619475
cg20083730,cg04220579,cg17838026,cg01837719,cg17838026,cg13216057,cg02909790
cg02909790,cg26537639,cg01837719,cg17838026,cg01837719,cg17838026,cg17838026
cg14988503,cg21406461,cg04220579,cg04220579,cg02909790,cg17965019,cg17965019
cg11536940,cg19776201,cg21406461,cg06263495,cg04220579,cg02909790,cg13216057
cg26537639,cg11536940,cg11536940,cg19776201,cg19210770,cg01837719,cg01837719
cg26668713,cg20083730,cg20083730,cg19210770,cg20083730,cg14988503,cg20083730
cg25361844,cg06263495,cg14988503,cg02909790,cg17965019,cg20083730,cg11536940
cg09516965,cg06981182,cg19776201,cg07125009,cg14988503,cg09137696,cg14988503
cg19996355,cg11656547,cg19210770,cg14991487,cg06263495,cg06321883,cg06263495
cg01561916,cg01837719,cg07125009,cg14988503,cg04237663,cg25228126,cg24664861
cg09068528,cg09068528,cg02909790,cg20083730,cg07125009,cg11536940,cg09137696
cg27619475,cg20727114,cg10164640,cg11536940,cg14991487,cg24664861,cg25228126
cg17483510,cg14988503,cg11670211,cg21406461,cg11536940,cg22619018,cg20870559
cg02413850,cg02909790,cg14991487,cg04237663,cg19776201,cg06263495,cg22619018
cg00462994,cg06321883,cg04454951,cg17965019,cg06321883,cg15364537,cg06357925
cg06981182,cg17029168,cg06263495,cg06981182,cg09137696,cg19210770,cg25577842
cg15364537,cg17965019,cg17029168,cg06321883,cg22619018,cg25577842,cg06321883
cg13216057,cg10541755,cg21577049,cg24664861,cg06357925,cg07125009,cg19210770
cg05368341,cg19210770,cg06357925,cg17029168,cg25577842,cg04237663,cg11670211
cg17965019,cg18059088,cg11656547,cg11670211,cg17029168,cg19776201,cg04237663
cg17810944,cg07125009,cg20727114,cg25577842,cg06981182,cg17029168,cg02320454
cg05522383,cg09137696,cg25577842,cg06357925,cg02320454,cg20870559,cg19776201
cg06263495,cg02413850,cg04237663,cg22619018,cg21406461,cg18711066,cg17029168
cg20727114,cg01870826,cg18059088,cg10164640,cg24664861,cg06357925,cg05275752
cg09952204,cg22619018,cg09068528,cg02320454,cg15364537,cg09068528,cg15364537
cg18059088,cg04237663,cg05508084,cg21842478,cg19996355,cg15520279,cg12622986
cg18956481,cg20822579,cg22619018,cg09068528,cg15520279,cg05275752,cg12601757
cg01795122,cg05508084,cg10743104,cg25228126,cg05275752,cg11670211,cg15520279
cg16517394,cg14991487,cg02320454,cg04454951,cg15250797,cg10164640,cg09516965
cg20822579,cg02765328,cg24664861,cg05275752,cg25228126,cg09516965,cg18711066
cg11656547,cg16517394,cg21842478,cg09137696,cg06201642,cg21842478,cg01795122
cg17749443,cg04454951,cg06981182,cg15364537,cg11670211,cg06981182,cg17483510
cg09357097,cg10164640,cg02765328,cg02765328,cg01366419,cg12622986,cg00498604
cg11670211,cg11670211,cg19996355,cg06201642,cg10164640,cg02320454,cg10164640
cg12601757,cg18239753,cg16517394,cg20890210,cg20890210,cg00498604,cg11656547
cg06357925,cg26668713,cg25228126,cg10743104,cg20870559,cg02765328,cg09068528
cg03700462,cg25577842,cg06321883,cg15250797,cg02765328,cg12601757,cg07125009
cg18239753,cg03462055,cg17872757,cg20727114,cg21842478,cg01366419,cg21842478
cg08047457,cg15087147,cg07241568,cg15087147,cg03943081,cg17483510,cg21406461
cg19776201,cg19996355,cg12622986,cg03943081,cg09068528,cg14991487,cg21577049
cg01870826,cg22029275,cg20890210,cg05508084,cg18711066,cg15250797,cg06981182
cg17740399,cg21577049,cg15087147,cg16517394,cg04454951,cg11656547,cg24576425
cg27341860,cg10743104,cg17965019,cg16731240,cg12601757,cg10743104,cg18995088
cg06321883,cg09516965,cg02413850,cg11656547,cg10743104,cg21406461,cg02413850
cg04988423,cg00465284,cg03943081,cg18074297,cg20727114,cg16335762,cg05368341
cg09440289,cg05380982,cg01870826,cg02413850,cg18239753,cg21577049,cg02422694
cg00777121,cg23499956,cg05522383,cg21577049,cg11656547,cg02413850,cg03943081
cg10541755,cg18956481,cg17639046,cg09952204,cg21577049,cg03943081,cg19996355
cg02250594,cg07241568,cg15250797,cg18711066,cg12622986,cg19996355,cg20727114
cg21406461,cg17810944,cg18074297,cg12601757,cg17639046,cg06818777,cg18239753
cg00679738,cg21842478,cg12601757,cg18059088,cg00498604,cg06201642,cg06201642
cg00465284,cg06357925,cg06201642,cg19996355,cg05368341,cg04454951,cg04432009
cg02452985,cg05368341,cg09516965,cg17639046,cg17810944,cg01795122,cg11059483
cg05508084,cg25361844,cg10449070,cg15520279,cg17483510,cg18995088,cg15250797
cg16731240,cg14717170,cg10541755,cg12622986,cg24576425,cg02422694,cg06818777
cg16335762,cg17483510,cg20822579,cg01366419,cg05508084,cg18239753,cg05522383
cg19917856,cg06818777,cg09952204,cg20822579,cg10449070,cg20890210,cg14991487
cg02765328,cg20890210,cg08634464,cg09516965,cg02413850,cg00576250,cg12858460
cg25228126,cg05522383,cg18711066,cg00116234,cg23499956,cg17740399,cg20890210
cg22029275,cg25228126,cg09137696,cg05522383,cg05380982,cg19292008,cg00116234
cg23559331,cg24664861,cg17483510,cg18995088,cg12858460,cg04432009,cg04454951
cg10883303,cg09952204,cg00465284,cg00498604,cg09516965,cg05368341,cg16335762
cg14611174,cg05275752,cg10920957,cg01870826,cg00116234,cg20727114,cg01366419
cg12858460,cg14201417,cg02422694,cg20870559,cg15087147,cg24576425,cg10449070
cg06818777,cg00498604,cg23239396,cg10449070,cg16517394,cg20822579,cg17740399
cg12265829,cg12601757,cg00116234,cg12858460,cg16335762,cg01468621,cg02765328
cg07125009,cg16731240,cg05380982,cg05368341,cg17740399,cg00116234,cg10743104
cg21842478,cg10449070,cg23499956,cg17810944,cg06818777,cg10449070,cg01468621
cg05380982,cg01795122,cg06995715,cg19566405,cg01795122,cg17639046,cg17749443
cg10329418,cg01561916,cg18239753,cg02422694,cg18995088,cg12858460,cg19566405
cg14717170,cg18711066,cg05368341,cg23499956,cg18059088,cg05522383,cg00405677
cg00116234,cg02452985,cg00462994,cg00576250,cg20822579,cg17810944,cg17810944
cg04237663,cg00462994,cg20870559,cg17483510,cg19292008,cg18074297,cg21504918
cg02422694,cg17872757,cg17810944,cg00462994,cg02422694,cg23499956,cg19292008
cg15520279,cg12622986,cg18995088,cg25148589,cg04432009,cg11059483,cg02583151
cg00117172,cg03889226,cg16731240,cg16335762,cg18074297,cg05508084,cg13320626
cg09158314,cg24332422,cg18031008,cg09404633,cg00462994,cg02583151,cg18956481
cg10164640,cg17749443,cg14717170,cg18239753,cg00576250,cg21504918,cg00318573
cg17872757,cg02422694,cg00117172,cg17872757,cg27188703,cg13320626,cg05508084
cg21965997,cg06201642,cg17108819,cg07241568,cg05522383,cg10920957,cg18123948
cg20890210,cg18031008,cg17749443,cg19292008,cg16731240,cg16517394,cg17872757
cg14201417,cg17639046,cg13320626,cg01795122,cg00318573,cg15087147,cg01870826
cg00187380,cg20870559,cg03462055,cg06818777,cg01870826,cg23559331,cg20822579
cg06201642,cg13320626,cg02452985,cg02452985,cg17749443,cg17749443,cg00884221
cg06509239,cg02320454,cg19292008,cg06995715,cg20507276,cg10046620,cg00576250
cg18711066,cg04988423,cg01722994,cg08634464,cg10557828,cg13878010,cg00187380
cg15087147,cg00117172,cg00576250,cg10557828,cg23559331,cg20507276,cg15087147
cg04454951,cg01722994,cg15364537,cg04432009,cg13320626,cg19566405,cg18074297
cg19280968,cg12858460,cg27188703,cg14356550,cg10541755,cg18956481,cg16517394
cg18995088,cg16431978,cg14201417,cg10920957,cg09952204,cg00318573,cg13878010
cg07570142,cg13619915,cg05275752,cg02583151,cg10920957,cg12081743,cg23499956
cg23499956,cg08634464,cg18956481,cg20507276,cg00577464,cg00405677,cg10883303
cg08097882,cg03700462,cg00498604,cg27188703,cg10046620,cg18123948,cg17639046
cg06781209,cg26270746,cg06818777,cg13765303,cg11059483,cg07550362,cg12081743
cg09126273,cg05159188,cg15520279,cg10541755,cg12081743,cg09952204,cg27194921
cg09404633,cg10046620,cg12858460,cg00465284,cg01722994,cg07655627,cg05380982
